LST_CELTTY,LST_JOBJ,LST_JLIB,LST_CCPLT,LST_CTYPE,LST_CATR,LST_JSRCF,LST_JXLIB,LST_NORD,LST_CSTS,LST_CTXT,LST_TDATE,LST_TTIME,LST_CAPP,LST_CENV,LST_CVER,LST_CLCL,LST_JDLIB,LST_JZSEL1,LST_JZSEL2,LST_JZSEL3,LST_JZSEL4,LST_NZSEL5,LST_NZSEL6,LST_CZSEL7,LST_CZSEL8,LST_CZSEL9,LST_CSST,LST_CFNC,LST_CSFN,LST_CIMPAT,LST_JFLD,LST_NQUAL,LST_CISDTC,LST_CALS,LST_CIOBJX,LST_CIOBJU,LST_CIDIRX,LST_CIDIRU,LST_CDIDIX,LST_CDIDIU,LST_NRRN,LST_CFLG1,LST_CFLG2,LST_CFLG3,LST_CFLG4,LST_TCRTT,LST_JCRTUS,LST_JCRTPG,LST_JCJNAM,LST_JCJUSR,LST_JCJNBR,LST_TUPDT,LST_JUPDUS,LST_JUPDPG,LST_JUJNAM,LST_JUJUSR,LST_JUJNBR,Unnamed: 58
M,BD990811,SPSRCREF,*LF,LF,,QDDSSRC,SPRLIBREF,6,A,csoc/ceta/cdiv/csta/nlot,1993-08-10,0,GRAMMEO,*NONE,*NONE,,,10,,,,0.0,0,,,,,,,,,0,0,,BD990811,BD990811,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.727,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.540,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,BRBRE01,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/cent/cari/nbre,1993-03-16,0,GRAMMEO,*NONE,*NONE,,,13,,,,0.0,0,,,,,,,,,0,0,,BRBRE01,BRBRE01,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.752,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.542,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,BRBRE02,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/cent/cari/nbre,1993-03-16,0,GRAMMEO,*NONE,*NONE,,,13,,,,0.0,0,,,,,,,,,0,0,,BRBRE02,BRBRE02,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.762,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.544,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,BRBRE03,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/cari/nrad/cent/nbre,1993-04-30,0,GRAMMEO,*NONE,*NONE,,,13,,,,0.0,0,,,,,,,,,0,0,,BRBRE03,BRBRE03,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.774,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.545,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,BRBRE04,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/cent/ccon/ccat/cqua/cmod/qgra/...,1993-09-02,0,GRAMMEO,*NONE,*NONE,,,23,,,,0.0,0,,,,,,,,,0,0,,BRBRE04,BRBRE04,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.784,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.548,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,CACDE01,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/ncoa/ncca,1992-09-22,0,GRAMMEO,*NONE,*NONE,,,12,,,,0.0,0,,,,,,,,,0,0,,CACDE01,CACDE01,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.795,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.551,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,CACDE02,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/ncoa/ncca,1992-09-22,0,GRAMMEO,*NONE,*NONE,,,12,,,,0.0,0,,,,,,,,,0,0,,CACDE02,CACDE02,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.806,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.553,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,CACDE03,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/ndea/ncoa/ncca,1992-09-22,0,GRAMMEO,*NONE,*NONE,,,13,,,,0.0,0,,,,,,,,,0,0,,CACDE03,CACDE03,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.815,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.554,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,CACDE04,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/nlot/ncoa/ncca,1992-11-13,0,GRAMMEO,*NONE,*NONE,,,13,,,,0.0,0,,,,,,,,,0,0,,CACDE04,CACDE04,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.825,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.556,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
M,CACDE05,SPSRCREF,*LF,LF,,QDDSSRC,SPFLIBREF,6,A,csoc/ceta/cdiv/dcoa/ncoa/ncca,1993-01-19,0,GRAMMEO,*NONE,*NONE,,,12,,,,0.0,0,,,,,,,,,0,0,,CACDE05,CACDE05,SPSRCREF,SPSRCREF,,,0.0,,,,,2022-08-25 16:01:33.836,ARCAD_PGMR,AART410R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:03:14.558,ARCAD_PGMR,AARD294M1,DECLARE2,ARCAD_PGMR,169394,
