LST_CELTTY,LST_JOBJ,LST_JLIB,LST_CCPLT,LST_CTYPE,LST_CATR,LST_JSRCF,LST_JXLIB,LST_NORD,LST_CSTS,LST_CTXT,LST_TDATE,LST_TTIME,LST_CAPP,LST_CENV,LST_CVER,LST_CLCL,LST_JDLIB,LST_JZSEL1,LST_JZSEL2,LST_JZSEL3,LST_JZSEL4,LST_NZSEL5,LST_NZSEL6,LST_CZSEL7,LST_CZSEL8,LST_CZSEL9,LST_CSST,LST_CFNC,LST_CSFN,LST_CIMPAT,LST_JFLD,LST_NQUAL,LST_CISDTC,LST_CALS,LST_CIOBJX,LST_CIOBJU,LST_CIDIRX,LST_CIDIRU,LST_CDIDIX,LST_CDIDIU,LST_NRRN,LST_CFLG1,LST_CFLG2,LST_CFLG3,LST_CFLG4,LST_TCRTT,LST_JCRTUS,LST_JCRTPG,LST_JCJNAM,LST_JCJUSR,LST_JCJNBR,LST_TUPDT,LST_JUPDUS,LST_JUPDPG,LST_JUJNAM,LST_JUJUSR,LST_JUJNBR,Unnamed: 58
O,EX0710X,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Valeur Assurance phase 2,1997-04-29,170450,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,EX0710X,EX0710X,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.305,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.832,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,EX0710Z,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Valeur Assurance Phase 3,1997-04-29,170504,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,EX0710Z,EX0710Z,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.307,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.832,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,FC1003C2,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail,1994-11-03,155537,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,FC1003C2,FC1003C2,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.324,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.836,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,FC1004,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail,1993-08-07,185831,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,FC1004,FC1004,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.329,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.836,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,FC1005,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail,1993-08-07,185836,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,FC1005,FC1005,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.333,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.837,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,FC1013C2,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail,2000-11-28,163023,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,FC1013C2,FC1013C2,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.339,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.837,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,IETIE,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier lien imprim. préf. titre - Entrepôts  J155,2018-01-23,22426,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,IETIE,IETIE,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.346,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.843,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,IN1001,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail,1993-08-07,185846,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,IN1001,IN1001,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.371,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.846,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,IN1002,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier de travail,1993-08-07,185851,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,IN1002,IN1002,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.375,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.846,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,IN1004,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Edition du cours de route achat,1994-03-15,190151,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,IN1004,IN1004,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.381,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.847,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,IN1007,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Ancienneté des lot par entrepots  (ALN),1995-09-08,165222,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,IN1007,IN1007,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.385,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.847,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,IN1008,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Ancienneté des lot Pourcentage  (ALN),1994-04-21,144519,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,IN1008,IN1008,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.389,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.847,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,IN1009,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier pour provisions achats,2000-11-10,115330,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,IN1009,IN1009,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.394,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.847,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,IN1010,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,fichier travail provision de transports,1994-09-27,143811,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,IN1010,IN1010,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.396,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.848,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
O,IN1011,SPRLIBREF,*PF,*FILE,PF,QDDSSRC,,4,,Fichier Prov.pour hausse des Prix compta,1995-11-06,151400,GRAMMEO,*NONE,*NONE,*L02,,0,,,,0.0,0,,,,,,,,,0,,,IN1011,IN1011,SPRLIBREF,SPRLIBREF,,,0.0,,,,,2022-08-25 16:02:58.399,ARCAD_PGMR,AART310R1,DECLARE2,ARCAD_PGMR,169394,2022-08-25 16:04:45.848,ARCAD_PGMR,AART256R1,DECLARE2,ARCAD_PGMR,169394,
